ASIN,Qty_count,Qty_mean,Qty_median,Qty_std,Qty_min,Qty_25%,Qty_75%,Qty_max,Amount_count,Amount_mean,Amount_median,Amount_std,Amount_min,Amount_25%,Amount_75%,Amount_max
B01LYC0N7Q,21,1.0476190476190477,1.0,0.21821789023599236,1,1.0,1.0,2,21,395.3333333333333,376.0,81.76388770926522,376.0,376.0,382.0,752.0
B01LYC0NV1,7,1.0,1.0,0.0,1,1.0,1.0,1,7,297.57142857142856,295.0,4.72077475481666,295.0,295.0,298.0,307.0
B01LZMXYSV,4,1.0,1.0,0.0,1,1.0,1.0,1,4,295.0,295.0,0.0,295.0,295.0,295.0,295.0
B01LZYQ93J,8,1.0,1.0,0.0,1,1.0,1.0,1,8,258.125,295.0,104.29825022501575,0.0,295.0,295.0,295.0
B01M0LXTZE,2,1.0,1.0,0.0,1,1.0,1.0,1,2,376.0,376.0,0.0,376.0,376.0,376.0,376.0
B01M0XUV1S,5,1.0,1.0,0.0,1,1.0,1.0,1,5,382.0,382.0,0.0,382.0,382.0,382.0,382.0
B01M19H5E3,7,1.0,1.0,0.0,1,1.0,1.0,1,7,295.85714285714283,295.0,2.2677868380553687,295.0,295.0,295.0,301.0
B01M1L6330,5,1.2,1.0,0.4472135954999579,1,1.0,1.0,2,5,376.0,376.0,265.87214972614186,0.0,376.0,376.0,752.0
B01MSEK1O5,2,1.0,1.0,0.0,1,1.0,1.0,1,2,309.0,309.0,2.8284271247461903,307.0,308.0,310.0,311.0
B01MZGYNRV,6,1.0,1.0,0.0,1,1.0,1.0,1,6,310.3333333333333,311.0,1.6329931618554507,307.0,311.0,311.0,311.0
B01N184GHA,2,1.0,1.0,0.0,1,1.0,1.0,1,2,311.0,311.0,0.0,311.0,311.0,311.0,311.0
B01N184HBX,4,1.0,1.0,0.0,1,1.0,1.0,1,4,310.0,311.0,2.0,307.0,310.0,311.0,311.0
B01N29JK0G,3,1.0,1.0,0.0,1,1.0,1.0,1,3,309.6666666666667,311.0,2.309401076758499,307.0,309.0,311.0,311.0
B06Y57CT5J,17,1.0,1.0,0.0,1,1.0,1.0,1,17,370.2352941176471,382.0,12.86239388568818,357.0,357.0,382.0,382.0
B06Y59MV5R,5,1.0,1.0,0.0,1,1.0,1.0,1,5,380.8,382.0,2.683281572999751,376.0,382.0,382.0,382.0
B06Y5CCJ89,2,1.0,1.0,0.0,1,1.0,1.0,1,2,382.0,382.0,0.0,382.0,382.0,382.0,382.0
B06Y5CFQSQ,2,1.0,1.0,0.0,1,1.0,1.0,1,2,382.0,382.0,0.0,382.0,382.0,382.0,382.0
B06Y5RHMBJ,2,1.5,1.5,0.7071067811865476,1,1.25,1.75,2,2,573.0,573.0,270.1147904132612,382.0,477.5,668.5,764.0
B07141LX6Q,15,1.0,1.0,0.0,1,1.0,1.0,1,15,374.8,368.0,10.42113237609043,365.0,368.0,389.0,389.0
B071VG5FH4,11,1.0,1.0,0.0,1,1.0,1.0,1,11,376.0,376.0,0.0,376.0,376.0,376.0,376.0
B071YXDT73,7,1.0,1.0,0.0,1,1.0,1.0,1,7,371.0,368.0,7.93725393319377,368.0,368.0,368.0,389.0
B072F5MVHT,1,1.0,1.0,,1,1.0,1.0,1,1,368.0,368.0,,368.0,368.0,368.0,368.0
B072HR44J2,5,1.0,1.0,0.0,1,1.0,1.0,1,5,368.0,368.0,0.0,368.0,368.0,368.0,368.0
B0743DHFCD,2,1.0,1.0,0.0,1,1.0,1.0,1,2,320.0,320.0,18.384776310850235,307.0,313.5,326.5,333.0
B0743F98CD,3,1.0,1.0,0.0,1,1.0,1.0,1,3,353.0,376.0,39.83716857408418,307.0,341.5,376.0,376.0
B0743FD3GJ,1,1.0,1.0,,1,1.0,1.0,1,1,307.0,307.0,,307.0,307.0,307.0,307.0
